recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Aardappelpom van Judith Cyrus,910.0,54.0,16.0,640.0,20.0,67.0,34.0,6.0
"Aardappelpuree met bieslook, snijbonen, kibbeling en ravigottesaus",640.0,52.0,0.0,1200.0,21.0,36.0,11.0,11.0
"Aardappelpuree met cheddar, bloemkool &amp; groenteballetjes",630.0,54.0,0.0,1510.0,20.0,34.0,14.0,12.0
Aardappelpuree met kaas,410.0,47.0,0.0,0.0,15.0,17.0,0.0,0.0
"Aardappelpuree met kaas, groenten en kaaskoekjes",550.0,36.0,5.0,680.0,28.0,31.0,17.0,7.0
"Aardappelpuree met witlof, ham en kaas",545.0,48.0,9.0,960.0,29.0,25.0,16.0,6.0
Aardappelsalade met bacon,425.0,33.0,0.0,0.0,9.0,27.0,0.0,0.0
Aardappelsalade met biet en zure haring,550.0,54.0,0.0,810.0,21.0,25.0,11.0,9.0
Aardappelsalade met bietjes en zalm,440.0,48.0,0.0,440.0,20.0,16.0,3.0,12.0
Aardappelsalade met bleekselderij,270.0,35.0,0.0,0.0,5.0,11.0,0.0,0.0
Aardappelsalade met doperwten,210.0,38.0,0.0,290.0,7.0,1.0,1.0,8.0
Aardappelsalade met dragon,370.0,37.0,0.0,0.0,4.0,23.0,0.0,0.0
Aardappelsalade met gerookte zalm,485.0,45.0,0.0,670.0,30.0,19.0,4.0,8.0
Aardappelsalade met groene kruiden,250.0,25.0,0.0,0.0,3.0,15.0,0.0,0.0
Aardappelsalade met kappertjes en peterselie,240.0,40.0,0.0,225.0,4.0,6.0,1.0,4.0
Aardappelsalade met knoflookmayonaise,910.0,48.0,0.0,20.0,6.0,76.0,11.0,5.0
Aardappelsalade met rucola en kapperappeltjes,415.0,50.0,0.0,580.0,7.0,19.0,3.0,8.0
Aardappelsalade met tonijn,475.0,45.0,0.0,470.0,23.0,21.0,3.0,8.0
Aardappelsalade met vinaigrette,360.0,46.0,0.0,535.0,6.0,16.0,2.0,5.0
Aardappelsalade met witte asperges en zalm,525.0,54.0,5.0,800.0,27.0,20.0,4.0,11.0
Aardappelsalade van de BBQ,400.0,50.0,0.0,200.0,6.0,18.0,2.0,8.0
Aardappelschijfjes uit de airfryer,165.0,30.0,2.0,0.0,3.0,3.0,1.0,3.0
Aardappeltaart XL,225.0,36.0,0.0,320.0,4.0,6.0,4.0,6.0
Aardappeltaart van Perupas,280.0,17.0,0.0,430.0,9.0,20.0,12.0,2.0
Aardappeltatin,425.0,53.0,0.0,640.0,6.0,20.0,10.0,4.0
Aardappeltjes en wortel uit de oven met rozemarijn-zeezoutolie,355.0,59.0,13.0,160.0,6.0,8.0,1.0,12.0
Aardappeltjes met gegrilde asperges,465.0,40.0,6.0,240.0,13.0,27.0,10.0,10.0
