recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Franse perentaart,355.0,41.0,0.0,200.0,6.0,18.0,9.0,3.0
Franse vissoep,240.0,16.0,0.0,770.0,18.0,10.0,2.0,7.0
Frappé,115.0,24.0,23.0,40.0,2.0,1.0,1.0,1.0
Freakshake,500.0,27.0,0.0,20.0,5.0,41.0,28.0,1.0
Fresh fizz,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Friese kruidnoten,170.0,36.0,19.0,160.0,4.0,1.0,1.0,1.0
Friet met mayo,275.0,40.0,6.0,120.0,4.0,10.0,1.0,5.0
Frietje Gooise dip,135.0,10.0,0.0,320.0,1.0,10.0,6.0,0.0
Frietje Indonesië met kruidige topping,305.0,16.0,0.0,400.0,5.0,24.0,3.0,2.0
Frietje Vlaamse stoof,600.0,50.0,0.0,410.0,31.0,29.0,14.0,5.0
Frietje chic met truffeltopping,260.0,7.0,0.0,120.0,1.0,25.0,2.0,0.0
Fris gebakje met lemon curd,415.0,27.0,0.0,30.0,6.0,31.0,21.0,4.0
Fris-romige fusilli met zalmfilet en broccoli,835.0,60.0,0.0,535.0,48.0,43.0,15.0,9.0
Frispittige doperwtensoep met soepstengels,405.0,29.0,0.0,1080.0,14.0,24.0,12.0,8.0
Frisse andijviesalade met venkel &amp; radijs,255.0,8.0,0.0,555.0,9.0,20.0,3.0,4.0
Frisse artisjok-pastasalade met groene asperges en serranoham,450.0,60.0,0.0,2304.0,30.0,8.0,4.0,8.0
Frisse citruscheesecake,650.0,51.0,0.0,205.0,7.0,46.0,25.0,2.0
Frisse hummus met zhug,140.0,11.0,0.0,120.0,7.0,6.0,1.0,6.0
Frisse kipburgers,495.0,31.0,0.0,0.0,25.0,29.0,0.0,0.0
"Frisse lentesalade met makreel, kriel en radijs",580.0,57.0,0.0,400.0,29.0,24.0,6.0,10.0
Frisse mangodip,165.0,14.0,0.0,0.0,1.0,11.0,0.0,0.0
Frisse pastasalade met feta,510.0,61.0,0.0,870.0,19.0,20.0,0.0,4.0
Frisse pastasalade met makreel,635.0,60.0,0.0,160.0,24.0,31.0,4.0,10.0
Frisse roerbak met broccoli en kip,525.0,58.0,0.0,1200.0,30.0,18.0,4.0,6.0
"Frisse roerbak van scharrelkip, broccoli, paksoi en noedels ",490.0,57.0,0.0,1110.0,30.0,15.0,4.0,7.0
Frisse rooibosijsthee,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Frisse salade met bonen in tacoschelpen,490.0,39.0,0.0,490.0,23.0,23.0,6.0,15.0
Frisse salsa van rode saus met kruiden en limoen,110.0,8.0,6.0,240.0,2.0,7.0,1.0,3.0
Frisse slastamp met ei,405.0,48.0,0.0,0.0,14.0,16.0,0.0,0.0
Frisse tzatziki,190.0,4.0,0.0,0.0,4.0,18.0,0.0,0.0
Frisse yoghurt met fruit &amp; kokos,300.0,32.0,0.0,120.0,7.0,15.0,12.0,6.0
Frisse yoghurtsaus met gegrilde paprika,65.0,3.0,0.0,120.0,2.0,5.0,3.0,1.0
Friszoete sinaasappel-bietsalade,465.0,18.0,0.0,120.0,11.0,37.0,8.0,6.0
Frites van koolraap en knolselderij,380.0,10.0,0.0,190.0,3.0,35.0,3.0,6.0
Frittata met groene groenten en feta,475.0,36.0,0.0,960.0,29.0,22.0,10.0,7.0
Frittata met groene-aspergetips,115.0,1.0,1.0,80.0,7.0,9.0,4.0,1.0
Frittata met lentegroenten,255.0,5.0,0.0,290.0,17.0,18.0,8.0,2.0
Frittata met snijbiet,440.0,30.0,0.0,310.0,19.0,26.0,12.0,6.0
"Frittata met ui, spinazie en gruyère",440.0,32.0,4.0,280.0,23.0,23.0,8.0,6.0
"Frittata met zoete aardappel, witte kaas en spinaziesalade",590.0,29.0,7.0,640.0,23.0,41.0,11.0,6.0
Frittata-soufflé met zoete aardappel,425.0,27.0,0.0,430.0,18.0,26.0,9.0,6.0
Frozen bananas,195.0,17.0,0.0,0.0,3.0,12.0,7.0,4.0
Frozen bellini,80.0,9.0,13.0,0.0,1.0,0.0,0.0,1.0
Fruit in wijnsiroop,310.0,66.0,0.0,0.0,3.0,1.0,0.0,0.0
Fruit- en groenteletters,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Fruitig dessert,225.0,25.0,22.0,40.0,9.0,8.0,2.0,5.0
Fruitijsjes,70.0,17.0,0.0,2.0,0.0,0.0,0.0,1.0
Fruitprikkers,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruitsalade met chocoladesaus,300.0,35.0,0.0,0.0,3.0,15.0,0.0,0.0
Fruitsalade met kaneelsiroop,180.0,39.0,0.0,20.0,1.0,1.0,0.0,5.0
Fruitsalade met zoete witte wijn,230.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0
Fruitsaladebowl met yoghurt skyr en muesli,325.0,44.0,34.0,80.0,25.0,4.0,1.0,6.0
Fruitsterren op een stokje,35.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0
Fudgewafels met vanille-ijs ,300.0,49.0,0.0,360.0,9.0,7.0,5.0,2.0
Funky hot chocolate,305.0,28.0,0.0,0.0,13.0,16.0,0.0,0.0
Fusilli met cervelaat en champignons,710.0,60.0,0.0,1090.0,27.0,39.0,17.0,4.0
Fusilli met groente en ham-kaassaus,825.0,82.0,0.0,960.0,38.0,37.0,20.0,7.0
Fusilli met groentesaus en hamblokjes,530.0,69.0,0.0,1160.0,25.0,16.0,5.0,6.0
Fusilli met kip en gegrilde paprika,505.0,62.0,0.0,0.0,32.0,14.0,0.0,0.0
Fusilli met kruidige kipbraadworst en ratatouille uit de oven,735.0,76.0,0.0,700.0,27.0,33.0,7.0,10.0
Fusilli met rauwe ham en champignons,585.0,56.0,0.0,987.0,25.0,28.0,10.0,5.0
Fusilli met ricotta en basilicum,575.0,68.0,0.0,0.0,16.0,26.0,0.0,0.0
Fusilli met spinazie en worstjes,765.0,67.0,0.0,0.0,32.0,37.0,0.0,0.0
"Fusilli met spinazie, citroen en slagroom",700.0,57.0,0.0,0.0,34.0,36.0,0.0,0.0
"Fusilli met tomaat, verse kruiden en Parmezaan",610.0,74.0,10.0,240.0,21.0,24.0,12.0,7.0
Gado gado met doperwten,965.0,105.0,0.0,850.0,32.0,44.0,12.0,14.0
Gado gado met gemarineerde tofu,925.0,100.0,0.0,1600.0,37.0,40.0,7.0,8.0
Gado gado wrap,1065.0,75.0,0.0,1985.0,30.0,69.0,32.0,14.0
Gadogado,945.0,32.0,19.0,1040.0,43.0,69.0,18.0,12.0
"Gadogado met krieltjes, homemade pindasaus en gebakken ei",755.0,75.0,0.0,720.0,23.0,37.0,13.0,15.0
Gadogado met snelle satésaus,575.0,32.0,14.0,920.0,20.0,39.0,15.0,8.0
"Gadogado van courgettespaghetti, krokante tempeh &amp; een eitje",575.0,35.0,0.0,640.0,25.0,35.0,9.0,10.0
Galaxy donuts,175.0,22.0,0.0,80.0,4.0,8.0,2.0,1.0
Galaxy-slush-cocktail ,175.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
Galette met herfstfruit,445.0,55.0,22.0,80.0,7.0,21.0,10.0,5.0
"Galette met pastinaak, wortel en hazelnoot",735.0,49.0,10.0,560.0,22.0,49.0,27.0,5.0
Galettes van Rimkje,805.0,40.0,0.0,0.0,44.0,51.0,0.0,0.0
Gamba's met aioli,730.0,1.0,0.0,240.0,19.0,72.0,9.0,0.0
Gambaspiesen met paprika en ananas,140.0,12.0,0.0,0.0,18.0,1.0,0.0,0.0
Ganache,75.0,4.0,4.0,0.0,1.0,6.0,4.0,1.0
Garnalen bakken,105.0,0.0,0.0,200.0,17.0,4.0,1.0,0.0
Garnalen in krokant jasje,605.0,71.0,0.0,1530.0,27.0,22.0,4.0,4.0
Garnalen marineren,250.0,1.0,0.0,200.0,17.0,20.0,6.0,0.0
Garnalen met karamelsaus en citrusdressing,300.0,25.0,0.0,1530.0,21.0,12.0,2.0,3.0
Garnalen met sereh,80.0,3.0,0.0,0.0,13.0,1.0,0.0,0.0
Garnalen-groentepappardelle &amp; tomatensaus,640.0,74.0,0.0,1365.0,33.0,21.0,7.0,13.0
Garnalen-mangosalade,150.0,21.0,0.0,0.0,8.0,3.0,0.0,0.0
Garnalencocktail hapje,85.0,1.0,1.0,200.0,3.0,7.0,3.0,1.0
Garnalencocktail in lofblaadjes,225.0,4.0,0.0,695.0,15.0,15.0,1.0,1.0
Garnalencocktail met aardappel en rucola,220.0,10.0,0.0,0.0,10.0,15.0,0.0,0.0
"Garnalencocktail met avocado, munt en dille",255.0,4.0,0.0,717.0,11.0,21.0,4.0,3.0
Garnalencocktail met avocado-kruidendressing,300.0,26.0,0.0,1220.0,18.0,12.0,2.0,5.0
Garnalencocktail met hangop en bieslook,110.0,2.0,0.0,0.0,10.0,7.0,0.0,0.0
Garnalencocktail met limoenmayonaise en sesamtoast,425.0,21.0,5.0,1120.0,17.0,30.0,3.0,2.0
Garnalencocktail met rode peper en komkommer,220.0,3.0,0.0,0.0,28.0,11.0,0.0,0.0
Garnalencocktail met tomaat en avocado,155.0,5.0,0.0,440.0,12.0,9.0,1.0,3.0
Garnalencurry met spinazie,610.0,77.0,0.0,1485.0,24.0,21.0,17.0,8.0
Garnalensalade,175.0,2.0,2.0,360.0,7.0,15.0,2.0,0.0
Garnalensaté met ananas,155.0,15.0,0.0,1900.0,18.0,3.0,0.0,2.0
Gar­na­len met pasta en cour­get­te­lin­ten in ro­mi­ge to­ma­ten­saus,560.0,70.0,0.0,400.0,34.0,15.0,5.0,5.0
Gazpacho met limoen,375.0,22.0,0.0,0.0,4.0,30.0,0.0,0.0
"Gazpacho met watermeloen, tomaat en limoen",145.0,18.0,17.0,200.0,2.0,7.0,1.0,2.0
"Gazpacho van kropsla, tuinerwten &amp; bieslook",145.0,10.0,0.0,745.0,7.0,7.0,4.0,7.0
Gazpacho van tomaat en paprika met knoflooktoast,360.0,38.0,10.0,360.0,11.0,16.0,3.0,9.0
Gebakken Thaise bami,530.0,64.0,0.0,715.0,19.0,19.0,9.0,7.0
Gebakken aardappel met chorizo,445.0,28.0,0.0,0.0,16.0,29.0,0.0,0.0
Gebakken aardappelen met spek en ui,355.0,41.0,0.0,180.0,8.0,17.0,4.0,4.0
Gebakken appelpartjes met five spice,110.0,20.0,0.0,2.0,0.0,2.0,1.0,2.0
Gebakken aubergine met kikkererwten en Catalaanse worst,705.0,29.0,0.0,760.0,39.0,45.0,12.0,15.0
Gebakken biet met rösti en slavink,645.0,45.0,0.0,480.0,26.0,38.0,11.0,9.0
Gebakken bloemkoolrijst met zalm en shanghaipaksoi,260.0,8.0,7.0,960.0,18.0,16.0,3.0,5.0
Gebakken champignons met toast,520.0,23.0,0.0,363.0,8.0,43.0,27.0,4.0
Gebakken coquilles met proseccoschuim en sojasaus,185.0,7.0,5.0,520.0,15.0,10.0,6.0,1.0
Gebakken eendenborst met groene-peperjus van Dennis Huwaë,575.0,6.0,0.0,160.0,35.0,46.0,17.0,0.0
Gebakken garnalen met korianderzaad en knoflook,165.0,1.0,0.0,120.0,13.0,12.0,1.0,1.0
Gebakken garnalen met limoendressing,105.0,3.0,0.0,0.0,5.0,8.0,0.0,0.0
Gebakken gnocchi met gegrilde groenten,500.0,56.0,0.0,880.0,14.0,23.0,6.0,7.0
Gebakken gnocchi met groene groenten en tonijndip,745.0,96.0,0.0,1320.0,35.0,22.0,5.0,9.0
"Gebakken gnocchi met pesto, kip &amp; snijbonen",875.0,102.0,0.0,1240.0,35.0,34.0,5.0,10.0
Gebakken gnocchi met spekjes en spruitjes,460.0,50.0,0.0,1190.0,19.0,19.0,6.0,8.0
"Gebakken gnocchi met tuinbonen, courgette en ham",555.0,53.0,6.0,1000.0,21.0,27.0,11.0,8.0
"Gebakken havermout met pindakaas, noten en magere kwark",380.0,32.0,15.0,200.0,16.0,20.0,3.0,6.0
Gebakken hele forel met amandelen,390.0,10.0,0.0,65.0,26.0,27.0,12.0,1.0
Gebakken kaas,685.0,47.0,0.0,0.0,24.0,43.0,0.0,0.0
Gebakken kabeljauw met beurre noisette,315.0,2.0,0.0,360.0,40.0,16.0,10.0,0.0
Gebakken kabeljauw met gestoofde prei &amp; linzen,295.0,20.0,0.0,305.0,22.0,12.0,7.0,10.0
Gebakken karamelpeertjes met crème fraîche,195.0,21.0,0.0,0.0,1.0,11.0,7.0,2.0
Gebakken kikkererwten met specerijen,240.0,24.0,3.0,120.0,9.0,10.0,1.0,7.0
Gebakken knolselderij met gekaramelliseerde witlof,235.0,10.0,0.0,435.0,7.0,17.0,4.0,6.0
Gebakken krieltjes met kruiden,310.0,47.0,0.0,10.0,5.0,10.0,1.0,7.0
"Gebakken krieltjes met sperziebonen, garnalen en ei ",480.0,58.0,8.0,520.0,29.0,12.0,6.0,13.0
Gebakken mozzarellatosti,335.0,27.0,0.0,450.0,12.0,19.0,8.0,1.0
Gebakken noedels en bruine bonen,465.0,48.0,0.0,0.0,25.0,19.0,0.0,0.0
Gebakken noedels met vega gehakt en pindasaus,615.0,62.0,9.0,1280.0,24.0,28.0,11.0,10.0
Gebakken noordzeetong,535.0,13.0,0.0,0.0,17.0,45.0,0.0,0.0
Gebakken peer en aubergine,200.0,10.0,0.0,0.0,2.0,16.0,0.0,0.0
Gebakken polentablokjes met Parmezaanse kaas ,775.0,48.0,0.0,1025.0,22.0,54.0,20.0,6.0
Gebakken prei met appel,205.0,15.0,0.0,335.0,9.0,11.0,6.0,5.0
Gebakken prei met champignons,170.0,12.0,0.0,460.0,9.0,8.0,3.0,8.0
Gebakken rijst met pittige makreel en wortelsalade,605.0,67.0,0.0,200.0,24.0,25.0,5.0,9.0
"Gebakken rucola, sla en spinazie",175.0,3.0,0.0,0.0,7.0,14.0,0.0,0.0
Gebakken schelvis met groene groenten,530.0,52.0,0.0,200.0,35.0,18.0,11.0,8.0
Gebakken schelvis met venkelsalade en geroosterde aardappelpartjes,450.0,39.0,0.0,200.0,31.0,17.0,3.0,7.0
Gebakken schol met krieltjes en wortelpeterselie,560.0,69.0,0.0,160.0,30.0,15.0,6.0,15.0
Gebakken scholfilet met lauwwarme rijstsalade,550.0,59.0,0.0,840.0,33.0,18.0,8.0,9.0
Gebakken sliptong met zelfgemaakt visspecerijenzout,440.0,14.0,0.0,640.0,25.0,27.0,15.0,1.0
Gebakken sperziebonen en kruidig gehakt met witte rijst ,590.0,71.0,3.0,240.0,26.0,21.0,6.0,7.0
Gebakken tofu met rozemarijn-marinade,290.0,20.0,17.0,600.0,13.0,17.0,3.0,1.0
Gebakken vis in kerriesaus,565.0,43.0,0.0,1185.0,28.0,29.0,3.0,8.0
Gebakken vis met zoetzure saus,255.0,20.0,0.0,0.0,19.0,11.0,0.0,0.0
Gebakken witlof met balsamico en pijnboompitten,200.0,18.0,0.0,7.0,6.0,11.0,3.0,3.0
Gebakken witlof met champignons en dragon,95.0,3.0,0.0,217.0,3.0,7.0,1.0,2.0
Gebakken witlof met romige kruidenpuree,525.0,45.0,0.0,85.0,9.0,33.0,19.0,6.0
Gebakken zalm met frisse venkelsalade,830.0,56.0,0.0,195.0,38.0,48.0,10.0,12.0
Gebakken zwarte bonen met komijn en ui,270.0,27.0,5.0,120.0,11.0,11.0,2.0,10.0
Geblakerde kip san fran-quinoasalade,655.0,58.0,0.0,220.0,40.0,26.0,5.0,11.0
Geblakerde spitskool,515.0,64.0,8.0,880.0,16.0,20.0,3.0,8.0
Gebraden kalkoen,505.0,0.0,0.0,140.0,45.0,36.0,14.0,0.0
Gebraden kip ,600.0,0.0,0.0,145.0,35.0,51.0,17.0,0.0
Gebraden kipfilet met cranberrysaus,565.0,77.0,0.0,160.0,34.0,11.0,2.0,11.0
Gebraden knolselderij met mosterdkruim,240.0,30.0,16.0,760.0,7.0,8.0,5.0,10.0
Gebraden runderlende met homemade peperroomsaus,640.0,9.0,0.0,240.0,38.0,50.0,31.0,1.0
Gebraden runderlende met paddenstoelenroomsaus,365.0,7.0,0.0,400.0,41.0,19.0,12.0,1.0
Gebraden worst met zoete-aardappelpuree en witlofsalade,685.0,67.0,0.0,715.0,30.0,31.0,9.0,8.0
Geel-rode stoofperen,480.0,88.0,72.0,40.0,1.0,0.0,0.0,5.0
Gefrituurd ijs met frambozencoulis,460.0,52.0,0.0,225.0,8.0,24.0,13.0,2.0
Gefrituurde bloemkoolnuggets met zoete chilisaus,400.0,52.0,0.0,440.0,7.0,17.0,3.0,6.0
Gefrituurde geitenkaasravioli,390.0,30.0,0.0,210.0,12.0,24.0,7.0,3.0
Gefrituurde groente met cajunkruiden en frisse ranchdip,450.0,31.0,6.0,400.0,11.0,30.0,5.0,7.0
Gefrituurde kip,240.0,9.0,0.0,0.0,16.0,16.0,0.0,0.0
Gefrituurde miehoen,140.0,25.0,0.0,0.0,2.0,3.0,0.0,0.0
Gefrituurde pasta met churros-twist,280.0,38.0,20.0,0.0,4.0,12.0,5.0,3.0
Gefrituurde ravioli met tomatendip,210.0,18.0,0.0,360.0,4.0,13.0,3.0,2.0
Gegaarde koolbladeren als tortilla's,20.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0
Geglaceerde worteltjes,140.0,21.0,0.0,42.0,1.0,5.0,3.0,4.0
Gegratineerde aardappelen,315.0,39.0,0.0,0.0,7.0,14.0,0.0,0.0
Gegratineerde bloemkoolstamp,765.0,38.0,0.0,845.0,28.0,54.0,21.0,6.0
Gegratineerde garnalen met gruyère,270.0,10.0,5.0,360.0,25.0,13.0,8.0,1.0
Gegratineerde kabeljauw met kriel en wokgroente,535.0,53.0,0.0,765.0,34.0,19.0,7.0,8.0
Gegratineerde kalkoenrolletjes,660.0,62.0,0.0,0.0,35.0,29.0,0.0,0.0
Gegratineerde kipfilet met tomatensaus &amp; courgette,545.0,22.0,0.0,680.0,34.0,33.0,8.0,10.0
Gegratineerde orzo met champignons en broccolirijst,650.0,73.0,11.0,280.0,28.0,26.0,18.0,6.0
Gegratineerde spruitenstamppot,510.0,43.0,0.0,775.0,22.0,25.0,13.0,13.0
Gegratineerde taco's met burritoschotel,690.0,85.0,0.0,640.0,17.0,27.0,8.0,17.0
"Gegratineerde witlof met peer, geitenkaas en spekjes",255.0,16.0,0.0,744.0,13.0,15.0,8.0,3.0
Gegrild filetlapje met aardappelen en frisse salade,595.0,60.0,0.0,160.0,40.0,19.0,4.0,12.0
Gegrilde Thaise kipsaté met kokos-muntquinoa,575.0,58.0,0.0,400.0,30.0,22.0,10.0,12.0
Gegrilde ananas met ijs en geroosterde kokos,210.0,33.0,0.0,0.0,2.0,7.0,0.0,0.0
Gegrilde ananas van de bbq,225.0,47.0,45.0,0.0,1.0,2.0,2.0,4.0
Gegrilde auberginepakketjes van Esther,400.0,11.0,0.0,0.0,20.0,31.0,0.0,0.0
Gegrilde auberginerolletjes,115.0,2.0,0.0,160.0,5.0,9.0,2.0,2.0
Gegrilde biefstuk met frisse lentesalade,695.0,70.0,0.0,320.0,39.0,27.0,4.0,8.0
Gegrilde biefstuk met pittige boter,620.0,45.0,0.0,0.0,37.0,30.0,0.0,0.0
Gegrilde biologische chipolata met frisse appel-snijbonensalade,850.0,64.0,0.0,615.0,30.0,39.0,16.0,14.0
Gegrilde bospeen met gember-ketjapjus,545.0,81.0,26.0,1480.0,11.0,17.0,6.0,12.0
Gegrilde caesarsalade met cherrytomaatjes &amp; kip,785.0,52.0,0.0,975.0,42.0,44.0,10.0,8.0
Gegrilde courgette met knoflookrub,225.0,17.0,14.0,800.0,6.0,14.0,2.0,3.0
Gegrilde courgettelinten,245.0,4.0,0.0,99.0,1.0,25.0,4.0,1.0
Gegrilde côte de boeuf,450.0,4.0,0.0,0.0,37.0,32.0,0.0,0.0
Gegrilde edamame,30.0,1.0,0.0,40.0,2.0,2.0,0.0,1.0
Gegrilde entrecote met salsa verde,695.0,46.0,0.0,885.0,42.0,37.0,9.0,6.0
"Gegrilde filetlapjes met appel, sperziebonen en kriel",425.0,50.0,0.0,300.0,24.0,12.0,2.0,10.0
Gegrilde filetlapjes met ovenaardappel en salade,615.0,59.0,0.0,520.0,35.0,24.0,4.0,12.0
Gegrilde garnalenspiesen met mango,270.0,14.0,0.0,1330.0,18.0,15.0,2.0,2.0
Gegrilde groene asperges,255.0,11.0,0.0,75.0,6.0,20.0,3.0,4.0
Gegrilde groene asperges met amandelen,235.0,10.0,0.0,75.0,6.0,18.0,2.0,4.0
Gegrilde groene asperges met tomaat,115.0,6.0,0.0,5.0,2.0,8.0,1.0,3.0
Gegrilde groenten,200.0,9.0,0.0,0.0,2.0,18.0,0.0,0.0
Gegrilde groenten met rauwe ham,500.0,39.0,0.0,0.0,19.0,29.0,0.0,0.0
Gegrilde groenten van de barbecue,250.0,9.0,0.0,80.0,7.0,20.0,6.0,3.0
Gegrilde groentesalade,130.0,11.0,0.0,0.0,4.0,7.0,0.0,0.0
Gegrilde halloumi met watermeloensalsa en couscoussalade,555.0,65.0,0.0,1000.0,24.0,21.0,10.0,6.0
Gegrilde halloumi met zelfgemaakte rucolahummus,810.0,66.0,0.0,910.0,36.0,41.0,21.0,13.0
Gegrilde halloumiburgers,695.0,36.0,15.0,1560.0,33.0,46.0,22.0,2.0
Gegrilde kalkoen met romige pompoen-saliepasta,705.0,68.0,0.0,335.0,42.0,27.0,11.0,9.0
Gegrilde kalkoenfilet met champignonroomsaus,620.0,44.0,0.0,635.0,38.0,30.0,16.0,11.0
Gegrilde kip met avocado en mais,505.0,10.0,0.0,0.0,33.0,36.0,0.0,0.0
Gegrilde kip met pestokrieltjes en venkel,375.0,27.0,0.0,149.0,25.0,17.0,2.0,5.0
Gegrilde kip met peterseliekrieltjes en broccoligratin,555.0,51.0,0.0,240.0,41.0,17.0,5.0,15.0
Gegrilde kip met zoete-aardappelspaghetti en tomatensaus,530.0,82.0,0.0,200.0,29.0,7.0,1.0,10.0
Gegrilde kip-spiesjes van de BBQ met pindasaus en wortelsalade,440.0,11.0,0.0,600.0,27.0,30.0,6.0,6.0
Gegrilde kipdijfilet met rozemarijn,400.0,43.0,0.0,0.0,23.0,13.0,0.0,0.0
Gegrilde kipfilet met pasta en peterseliepesto,640.0,57.0,0.0,139.0,28.0,33.0,4.0,2.0
Gegrilde kipfilethaasjes met ovenaardappelen,585.0,55.0,0.0,560.0,34.0,22.0,3.0,15.0
Gegrilde kippendij met tomaat-kappertjesdressing,650.0,66.0,0.0,560.0,28.0,26.0,5.0,19.0
Gegrilde kruidige kipfilet,585.0,32.0,0.0,632.0,38.0,31.0,4.0,13.0
Gegrilde lamshaas met ansjovis-tijmboter,370.0,0.0,0.0,265.0,29.0,28.0,15.0,0.0
Gegrilde lamskotelet met munt en komijn,590.0,3.0,2.0,200.0,32.0,50.0,17.0,0.0
Gegrilde mais,245.0,15.0,0.0,0.0,3.0,19.0,0.0,0.0
Gegrilde mais met feta,435.0,22.0,0.0,280.0,8.0,34.0,6.0,5.0
Gegrilde mais met tomaatjes,375.0,28.0,0.0,140.0,13.0,22.0,9.0,7.0
Gegrilde maiskolf,325.0,22.0,0.0,200.0,10.0,21.0,13.0,5.0
Gegrilde maiskolven met chipotleboter,365.0,21.0,0.0,280.0,7.0,27.0,16.0,4.0
Gegrilde mantelschelpen met waterkers en sinaasappel,175.0,25.0,0.0,475.0,15.0,1.0,0.0,2.0
Gegrilde meloen met parmaham van de bbq,160.0,8.0,8.0,440.0,7.0,11.0,2.0,1.0
Gegrilde paprika’s in het zuur ,55.0,11.0,0.0,5.0,1.0,0.0,0.0,3.0
Gegrilde peer met citroenyoghurt,125.0,15.0,0.0,40.0,2.0,6.0,3.0,2.0
Gegrilde perziken met yoghurt en frambozen,100.0,16.0,16.0,0.0,7.0,0.0,0.0,2.0
Gegrilde polenta met lamskoteletten,690.0,33.0,0.0,280.0,23.0,52.0,24.0,2.0
Gegrilde prei met mosterd-vinaigrette,290.0,23.0,20.0,200.0,8.0,15.0,2.0,15.0
Gegrilde preien met romesco,240.0,14.0,0.0,0.0,7.0,15.0,2.0,10.0
Gegrilde romainesla met Parmezaan en gebakken pancetta,345.0,6.0,1.0,400.0,16.0,28.0,8.0,4.0
Gegrilde salade 'caprese',265.0,8.0,0.0,160.0,13.0,19.0,9.0,4.0
Gegrilde sesam-halloumispiesjes met pompoen &amp; selderijcouscous,750.0,65.0,0.0,720.0,27.0,41.0,15.0,7.0
Gegrilde speklapjes met gepofte aardappel,810.0,56.0,0.0,160.0,38.0,46.0,21.0,10.0
Gegrilde st-jakobsschelpen,315.0,5.0,0.0,0.0,14.0,26.0,0.0,0.0
Gegrilde varkenshaas met BBQ-rub,195.0,12.0,0.0,800.0,31.0,3.0,1.0,1.0
Gegrilde varkenshaas met krieltjes &amp; gebakken groenten,490.0,48.0,0.0,305.0,21.0,22.0,9.0,9.0
Gegrilde varkenshaasspiesen met couscous &amp; witte-kaasdip,755.0,62.0,0.0,640.0,51.0,32.0,12.0,8.0
Gegrilde varkenslapjes met rijst en pittige paksoi,555.0,63.0,0.0,80.0,32.0,18.0,4.0,7.0
Gegrilde venkel met mozzarella en kappertjes-citroendressing,450.0,10.0,0.0,400.0,14.0,38.0,11.0,6.0
Gegrilde visspiesjes met gremolata,330.0,3.0,0.0,1260.0,22.0,25.0,6.0,1.0
Gegrilde watermeloensalade met feta en olijven,525.0,21.0,19.0,800.0,10.0,43.0,8.0,5.0
Gegrilde witte tonijn met avocadosalade,705.0,40.0,0.0,455.0,40.0,41.0,5.0,8.0
Gegrilde zalm met salsa van cherrytomaten,610.0,56.0,0.0,65.0,33.0,27.0,5.0,5.0
Gegrilde zalm van de BBQ met dillesaus en krieltjes,790.0,49.0,4.0,440.0,37.0,48.0,15.0,8.0
Gegrilde-courgettesalade met rozemarijnolie en gorgonzola,350.0,11.0,0.0,280.0,10.0,29.0,7.0,2.0
Gegrilde-maissalade met rivierkreeftjes &amp; gekookt ei,710.0,40.0,17.0,840.0,27.0,47.0,9.0,10.0
Gegrilde-paprikalasagne met romige geitenkaas-saliesaus,440.0,21.0,0.0,800.0,28.0,26.0,15.0,6.0
Gegrilde-paprikasalade met feta en munt,205.0,7.0,0.0,240.0,5.0,17.0,6.0,3.0
Gehakt met knoflook en specerijen (picadillo),375.0,11.0,5.0,200.0,28.0,24.0,9.0,2.0
Gehaktbal met rodekool,715.0,51.0,0.0,0.0,35.0,39.0,0.0,0.0
Gehaktballen basisrecept,320.0,8.0,0.0,655.0,20.0,23.0,10.0,1.0
Gehaktballen in biersaus met kriel en sperziebonen,555.0,48.0,0.0,440.0,23.0,27.0,14.0,11.0
Gehaktballen met mosterd uit de oven,365.0,13.0,0.0,360.0,30.0,21.0,9.0,2.0
Gehaktballen met olijf en tomaat,430.0,13.0,0.0,0.0,22.0,32.0,0.0,0.0
Gehaktballen uit de airfryer,265.0,9.0,2.0,280.0,27.0,13.0,6.0,1.0
"Gehaktballen, broccoli &amp; gebakken aardappelen",695.0,48.0,0.0,400.0,33.0,40.0,15.0,4.0
Gehaktballetjes en rodekool met speculaaskruiden,705.0,69.0,0.0,670.0,25.0,34.0,17.0,12.0
Gehaktballetjes in 'rendangsaus' met snijbonen,775.0,73.0,0.0,1240.0,37.0,35.0,19.0,11.0
Gehaktballetjes in een rijkgevulde tomatenstoof,740.0,75.0,0.0,970.0,31.0,33.0,9.0,9.0
Gehaktballetjes in homemade tomatensaus,805.0,75.0,0.0,1240.0,36.0,38.0,14.0,7.0
Gehaktballetjes in pittige tomatensaus uit de oven,715.0,30.0,15.0,880.0,42.0,46.0,18.0,7.0
Gehaktballetjes in tomatensaus,380.0,18.0,0.0,1495.0,23.0,23.0,8.0,4.0
Gehaktballetjes in tomatensaus met gebakken aardappeltjes,710.0,50.0,0.0,480.0,34.0,40.0,12.0,9.0
