Unnamed: 0,title,persons,time,calories,stars,url,image
0,Shepherd's pie,4,45,745,0,https://www.ah.nl/allerhande/recept/R-R1195614/shepherd-s-pie,https://static.ah.nl/static/recepten/img_RAM_PRD156339_1024x748_JPG.jpg
0,Shakshuka met Provençaalse groente,4,25,575,0,https://www.ah.nl/allerhande/recept/R-R1195603/shakshuka-met-provencaalse-groente,https://static.ah.nl/static/recepten/img_RAM_PRD153408_1024x748_JPG.jpg
0,Krokante zalm met bloemkool en notenrijst,4,5,740,0,https://www.ah.nl/allerhande/recept/R-R1195584/krokante-zalm-met-bloemkool-en-notenrijst,https://static.ah.nl/static/recepten/img_RAM_PRD151824_1024x748_JPG.jpg
0,Zalmpakketje uit de oven met pasta,4,18,825,0,https://www.ah.nl/allerhande/recept/R-R1195583/zalmpakketje-uit-de-oven-met-pasta,https://static.ah.nl/static/recepten/img_RAM_PRD151859_1024x748_JPG.jpg
0,Zalmvissticks uit de oven met taco's en salsa,4,20,675,0,https://www.ah.nl/allerhande/recept/R-R1195582/zalmvissticks-uit-de-oven-met-taco-s-en-salsa,https://static.ah.nl/static/recepten/img_RAM_PRD151860_1024x748_JPG.jpg
0,Traybake van orzo met gehaktballetjes in tomatensaus,4,15,600,0,https://www.ah.nl/allerhande/recept/R-R1195581/traybake-van-orzo-met-gehaktballetjes-in-tomatensaus,https://static.ah.nl/static/recepten/img_RAM_PRD151853_1024x748_JPG.jpg
0,Quesadillatraybake,4,10,775,0,https://www.ah.nl/allerhande/recept/R-R1195580/quesadillatraybake,https://static.ah.nl/static/recepten/img_RAM_PRD151834_1024x748_JPG.jpg
0,"Traybake van zoete aardappel, kikkererwten en knapperige halloumi",4,15,900,0,https://www.ah.nl/allerhande/recept/R-R1195579/traybake-van-zoete-aardappel-kikkererwten-en-knapperige-halloumi,https://static.ah.nl/static/recepten/img_RAM_PRD151855_1024x748_JPG.jpg
0,"Rijsttraybake met zwarte bonen, sperziebonen en tofu",4,15,925,0,https://www.ah.nl/allerhande/recept/R-R1195577/rijsttraybake-met-zwarte-bonen-sperziebonen-en-tofu,https://static.ah.nl/static/recepten/img_RAM_PRD151836_1024x748_JPG.jpg
0,"Traybake met gnocchi, feta en snoeptomaat",4,10,705,0,https://www.ah.nl/allerhande/recept/R-R1195575/traybake-met-gnocchi-feta-en-snoeptomaat,https://static.ah.nl/static/recepten/img_RAM_PRD151850_1024x748_JPG.jpg
0,"Traybake van kabeljauw, groene asperges en gepofte aardappel",4,20,560,0,https://www.ah.nl/allerhande/recept/R-R1195574/traybake-van-kabeljauw-groene-asperges-en-gepofte-aardappel,https://static.ah.nl/static/recepten/img_RAM_PRD151852_1024x748_JPG.jpg
0,"Traybake van zoete aardappel, kip en courgette",4,15,665,0,https://www.ah.nl/allerhande/recept/R-R1195573/traybake-van-zoete-aardappel-kip-en-courgette,https://static.ah.nl/static/recepten/img_RAM_PRD152399_1024x748_JPG.jpg
0,Pasta met Italiaanse roerbakgroente en worst,4,20,750,0,https://www.ah.nl/allerhande/recept/R-R1195564/pasta-met-italiaanse-roerbakgroente-en-worst,https://static.ah.nl/static/recepten/img_RAM_PRD151830_1024x748_JPG.jpg
0,Gladde groentesoep met feta-crème en peterselieolie,4,20,600,0,https://www.ah.nl/allerhande/recept/R-R1195563/gladde-groentesoep-met-feta-creme-en-peterselieolie,https://static.ah.nl/static/recepten/img_RAM_PRD151816_1024x748_JPG.jpg
0,Rijstnoedels met tempeh en pindadressing,4,30,620,0,https://www.ah.nl/allerhande/recept/R-R1195554/rijstnoedels-met-tempeh-en-pindadressing,https://static.ah.nl/static/recepten/img_RAM_PRD151835_1024x748_JPG.jpg
0,Noedels met crispy broccoli,4,25,920,0,https://www.ah.nl/allerhande/recept/R-R1195535/noedels-met-crispy-broccoli,https://static.ah.nl/static/recepten/img_RAM_PRD151827_1024x748_JPG.jpg
0,Broccolibroodjes met falafel en tahin-citroensaus (tarator),4,40,610,0,https://www.ah.nl/allerhande/recept/R-R1195534/broccolibroodjes-met-falafel-en-tahin-citroensaus-tarator,https://static.ah.nl/static/recepten/img_RAM_PRD151803_1024x748_JPG.jpg
0,Tonijnharcha (tonijngriesmeelkoek) van Kookmutsjes,4,65,695,0,https://www.ah.nl/allerhande/recept/R-R1195529/tonijnharcha-tonijngriesmeelkoek-van-kookmutsjes,https://static.ah.nl/static/recepten/img_RAM_PRD151848_1024x748_JPG.jpg
0,Tajine met kip en groente,4,20,715,0,https://www.ah.nl/allerhande/recept/R-R1195527/tajine-met-kip-en-groente,https://static.ah.nl/static/recepten/img_RAM_PRD151845_1024x748_JPG.jpg
